Date/Time, 2021-01-25_15:41
10,29.47
20,27.71
30,31.22
50,24.99
40,25.10
10,24.70
30,25.96
20,26.42
40,25.62
10,22.36
50,25.44
20,24.27
30,25.20
40,24.20
50,27.48
10,21.93
20,25.21
30,25.71
40,25.18
50,31.61
10,27.24
20,29.44
30,28.27
40,22.54
50,25.67
10,19.27
20,22.07
40,22.93
30,24.30
50,35.46
10,31.52
20,26.96
30,24.15
40,24.63
50,27.16
10,27.38
20,28.61
30,24.79
40,26.65
50,25.50
10,24.34
20,21.13
30,25.89
40,25.30
50,27.28
10,27.49
20,26.54
30,30.16
40,30.42
50,26.21
10,24.08
20,24.80
40,25.68
30,24.05
50,25.33
10,17.45
20,27.37
50,24.12
30,27.50
40,25.62
10,24.28
20,26.19
30,28.26
40,25.07
50,25.46
10,22.43
20,27.22
30,23.04
40,26.84
20,27.46
50,25.29
10,24.33
30,25.23
50,24.52
40,28.67
10,27.58
20,25.65
30,24.26
40,25.49
50,32.05
10,26.05
30,33.12
20,31.03
40,21.40
50,25.37
10,27.31
20,26.40
30,24.74
40,26.21
50,28.27
20,24.65
10,24.23
30,29.60
50,26.92
40,30.40
10,26.20
30,26.34
20,22.56
40,23.23
50,25.94
10,20.47
20,17.48
40,29.23
30,24.77
50,24.87
10,23.55
20,20.35
30,25.64
40,32.29
50,27.47
10,26.45
20,25.81
30,25.83
40,26.06
50,23.78
10,22.83
20,24.49
30,26.24
40,26.93
50,25.67
10,22.27
20,17.23
30,25.83
40,25.72
50,34.23
10,23.83
20,19.73
30,24.67
40,24.74
50,24.88
10,21.57
20,20.74
40,25.26
30,16.80
50,25.11
10,23.78
20,25.76
30,24.08
40,26.75
50,30.26
10,24.49
20,15.47
30,23.84
40,27.30
50,24.61
10,22.56
20,23.69
30,25.24
40,24.76
50,33.32
20,24.56
10,28.32
30,23.25
40,23.47
50,27.32
10,20.18
20,28.04
30,24.34
40,31.07
50,26.00
10,27.67
20,24.21
30,25.31
40,24.58
50,25.99
10,20.21
20,21.35
30,30.79
40,26.98
50,22.62
10,22.79
20,25.36
30,23.29
40,31.12
50,24.60
10,22.36
20,33.66
30,27.71
40,26.04
50,26.39
10,27.80
20,26.94
30,26.44
40,37.87
50,28.53
10,24.26
20,29.99
30,25.08
40,33.01
50,29.02
10,28.29
20,22.65
30,25.36
40,27.42
50,25.30
10,24.90
20,27.51
30,26.45
40,23.10
50,22.56
10,26.48
20,23.25
30,17.26
40,32.89
50,27.28
10,25.87
20,24.73
30,23.24
40,28.42
50,23.83
10,18.92
20,28.39
30,25.32
40,27.13
10,18.94
50,25.82
20,26.38
30,24.61
40,30.36
50,26.75
10,22.48
20,30.24
30,25.30
50,25.49
40,28.30
10,22.24
20,27.09
30,22.91
40,27.52
50,25.61
10,30.25
20,29.23
30,25.02
40,27.26
50,26.62
10,25.41
20,25.05
30,21.62
40,24.38
50,27.84
20,23.89
10,25.73
30,23.99
40,34.87
50,26.08
10,26.87
20,25.12
30,24.44
40,22.11
50,24.46
10,27.90
20,24.44
30,25.21
40,25.70
50,27.21
10,26.89
20,14.06
30,27.37
40,25.01
50,24.79
10,16.22
20,31.54
30,26.87
40,25.93
50,30.73
10,17.16
20,26.67
30,27.38
40,24.81
50,24.41
10,25.73
20,29.47
30,25.65
50,27.15
40,25.82
10,24.03
20,24.04
30,28.08
40,27.18
50,30.30
10,20.96
20,25.67
30,26.31
40,26.05
50,26.31
10,17.12
20,25.41
30,26.20
50,29.33
40,30.87
10,28.85
20,24.86
30,25.16
40,27.98
50,24.16
10,32.67
20,23.38
30,32.17
40,26.19
50,27.15
10,26.74
20,31.80
30,20.44
40,24.64
50,30.73
10,25.80
20,25.87
30,26.62
40,25.58
50,28.11
10,18.73
20,25.56
30,22.29
40,33.46
50,31.65
10,23.76
20,26.44
30,28.97
40,32.30
50,36.83
10,21.71
20,25.02
30,25.65
40,26.76
50,29.50
10,27.41
20,31.81
30,21.79
40,28.26
50,26.93
10,28.95
20,26.23
30,24.64
40,30.56
50,25.41
10,24.17
20,26.01
30,31.31
40,22.07
50,24.82
10,23.96
20,27.15
30,19.26
40,22.89
50,24.66
10,20.72
20,29.90
30,27.30
40,24.55
50,23.72
10,26.46
20,26.93
30,30.88
40,34.12
50,26.30
10,25.98
20,27.20
30,25.86
40,31.06
50,23.57
10,23.33
20,26.14
30,28.36
40,24.86
50,22.87
10,21.43
20,28.83
30,23.93
40,27.08
50,26.57
10,26.04
20,26.89
30,30.22
40,26.49
50,21.96
10,19.37
20,29.98
30,25.05
40,29.55
50,23.28
10,22.06
20,28.91
30,25.26
40,24.80
50,25.25
20,21.79
10,26.30
30,28.79
40,29.07
50,27.38
10,17.56
20,24.68
30,38.42
40,22.69
10,25.51
50,24.90
20,25.79
30,25.62
40,24.50
50,22.46
10,23.73
20,24.74
30,26.27
40,25.66
50,25.85
10,29.01
20,23.74
30,22.29
40,27.12
50,21.35
10,20.30
20,23.57
30,26.29
40,26.84
50,25.15
10,23.10
20,28.42
30,23.65
40,26.80
50,27.34
10,24.09
20,26.32
30,32.40
40,22.73
50,25.38
10,26.90
40,29.84
20,25.91
30,32.03
10,17.50
50,25.48
20,24.55
40,29.42
30,26.68
50,24.90
30,24.93
10,22.22
20,20.79
40,28.03
50,28.37
10,26.44
20,20.56
30,24.94
40,24.66
50,30.22
10,31.62
20,30.55
30,34.78
40,24.20
50,25.52
20,28.15
10,16.88
30,25.95
40,25.58
50,24.17
10,24.71
30,23.91
20,22.88
40,26.47
50,21.66
10,27.94
20,25.15
30,29.03
40,26.01
50,24.55
10,23.73
20,23.86
30,24.15
50,29.41
40,25.95
10,20.97
30,30.60
20,24.01
40,25.82
50,30.25
10,28.84
20,27.86
30,26.49
50,26.86
40,28.05
10,28.36
20,24.33
30,27.33
50,25.24
40,21.91
10,28.64
20,24.22
30,25.99
40,24.03
50,29.44
10,27.29
20,26.33
30,25.21
40,25.79
50,24.95
10,25.15
20,27.97
30,25.89
40,25.02
50,24.77
