Date/Time, 2021-01-27_19:28
20,43.31
30,49.65
10,40.93
40,47.36
10,47.36
50,49.85
20,41.72
40,48.16
30,53.05
50,45.01
10,26.72
20,43.76
30,50.13
40,46.01
50,49.30
10,39.76
20,43.48
30,51.20
40,45.32
50,47.47
10,46.70
20,51.42
30,49.94
40,47.73
10,31.30
50,46.69
20,30.24
30,44.16
40,48.36
50,47.32
10,44.94
20,52.38
30,46.35
50,52.73
40,51.19
10,40.65
20,38.27
30,47.64
40,46.82
10,28.40
50,52.17
20,40.62
40,53.15
30,44.53
50,47.63
20,46.59
10,42.42
30,45.83
50,46.32
40,51.76
10,31.22
20,47.03
30,39.87
40,45.74
50,53.93
10,36.34
20,47.01
40,42.00
30,48.17
50,46.77
10,41.52
20,46.89
30,47.39
40,43.39
50,44.80
10,36.61
30,48.12
20,37.34
40,46.55
50,40.36
10,42.82
20,47.87
30,39.56
40,46.20
50,44.49
10,35.50
20,46.19
30,45.19
40,46.90
50,40.53
10,36.93
20,45.54
30,41.72
40,45.80
50,54.20
10,40.99
20,46.28
30,48.83
40,38.11
50,42.40
10,34.96
20,33.64
30,44.78
50,46.74
40,46.44
20,40.57
30,44.94
10,43.61
40,46.70
50,43.34
10,37.47
20,38.31
30,48.97
40,54.99
50,42.95
10,42.31
20,36.68
30,39.91
40,53.07
50,47.69
10,45.50
20,47.72
30,41.30
40,46.94
50,51.72
10,29.97
20,37.84
30,44.09
40,50.76
50,47.45
10,35.40
20,30.35
40,46.79
30,48.08
50,45.33
20,38.48
10,33.85
30,46.63
40,46.08
50,46.66
10,35.18
20,41.87
30,42.26
40,39.46
50,41.87
10,31.37
20,44.36
30,41.07
40,43.60
50,47.33
10,32.02
20,36.82
30,44.55
40,49.61
50,51.35
10,28.58
20,39.78
30,45.26
40,45.33
50,53.05
10,36.97
20,43.08
30,36.93
40,47.43
50,44.17
10,43.80
20,49.65
30,44.36
40,46.13
50,53.18
10,44.51
20,33.88
30,43.35
40,44.12
50,48.59
10,34.93
20,40.49
30,46.18
40,45.01
50,46.82
10,30.51
20,44.50
30,43.17
40,50.52
50,45.87
10,36.99
20,38.78
30,45.10
40,45.06
50,48.14
10,45.53
20,44.92
30,46.42
40,52.99
50,45.93
10,44.71
20,39.81
30,38.97
50,52.20
40,48.97
10,38.77
20,45.46
30,40.35
40,47.17
50,55.13
10,37.39
30,47.30
20,44.22
40,46.53
10,39.77
50,47.06
20,43.90
30,40.33
40,44.06
50,50.92
10,34.20
20,35.56
30,47.80
40,48.46
50,46.03
10,33.90
20,43.08
30,51.32
40,48.93
50,45.59
10,31.62
20,44.22
30,50.99
40,51.10
50,47.53
20,43.96
10,40.52
30,49.70
50,47.54
40,54.48
10,34.23
20,47.96
30,42.29
40,49.11
50,52.54
10,40.29
20,35.78
30,46.42
40,46.91
50,41.17
10,33.18
20,47.76
30,37.22
40,44.83
50,43.07
10,45.88
20,37.14
30,42.23
40,53.42
50,45.57
10,43.01
20,37.78
30,43.64
40,41.34
50,46.83
10,42.39
20,48.94
30,44.20
40,46.13
50,43.65
10,42.51
20,29.07
30,52.15
40,51.57
50,49.66
10,35.69
20,50.66
30,39.76
40,41.61
50,52.49
10,31.54
20,43.27
30,42.83
40,49.53
50,45.99
10,39.24
20,47.66
30,48.52
40,44.03
50,50.89
10,40.70
20,35.56
30,45.91
40,44.45
50,46.25
10,43.85
20,46.69
30,44.13
40,48.35
50,53.88
10,35.83
20,48.68
30,43.11
40,41.16
50,49.19
10,45.52
20,38.62
30,47.74
40,43.34
50,48.50
10,46.28
20,44.91
30,47.35
40,49.73
50,53.78
10,45.96
20,47.19
30,40.24
40,51.88
50,48.92
10,36.55
20,44.44
30,44.86
40,44.04
50,50.94
10,36.30
20,45.90
30,43.41
40,51.80
50,47.92
10,35.74
20,45.73
30,51.15
40,48.41
50,48.48
10,43.52
20,40.14
30,44.03
40,49.72
50,51.34
10,35.41
20,51.26
30,40.11
40,47.69
50,49.84
10,30.91
20,48.16
30,50.04
40,55.84
50,41.45
10,42.34
20,44.65
30,48.16
40,39.23
50,47.09
10,36.23
20,38.87
30,40.74
40,46.52
50,52.54
10,42.88
20,35.19
30,49.55
40,43.86
50,49.99
20,45.34
10,41.20
30,44.61
40,50.99
50,51.59
10,45.95
30,44.67
20,42.15
40,48.17
10,28.92
50,45.29
20,44.63
30,54.26
40,41.79
50,47.83
10,32.58
20,44.49
30,50.41
40,50.23
50,46.17
10,39.65
20,42.37
30,44.77
40,51.67
50,49.43
10,35.64
20,46.15
40,42.88
30,43.57
50,48.02
10,39.32
20,52.35
30,44.94
40,38.60
50,49.61
10,40.97
20,36.72
30,36.70
40,53.42
50,52.51
10,33.27
20,45.92
30,47.74
40,44.99
50,41.06
10,31.55
20,40.18
30,46.35
40,39.00
50,46.16
10,48.36
20,48.95
30,44.45
40,45.62
50,47.65
10,48.35
20,34.27
30,37.01
40,42.88
50,49.09
20,43.43
10,37.06
30,49.02
40,41.49
50,47.78
10,45.21
30,48.04
20,47.54
40,54.31
50,47.38
10,34.46
20,44.55
30,47.71
40,39.48
50,50.60
10,45.80
20,48.51
30,50.95
40,47.93
50,52.26
10,42.31
30,51.80
20,41.19
40,52.49
50,42.37
10,41.21
20,45.23
30,38.52
40,51.04
50,51.35
10,43.11
20,34.40
30,37.84
40,42.67
50,49.33
10,40.84
20,46.42
30,50.96
40,49.95
50,50.12
10,29.10
20,39.02
30,47.51
40,44.89
50,51.74
10,40.00
20,33.29
30,43.45
40,48.42
50,49.03
10,43.77
20,41.88
30,48.91
40,45.96
50,51.18
10,40.70
20,42.31
30,47.45
40,46.89
50,50.52
10,36.27
20,48.02
30,44.82
40,47.10
50,47.90
10,50.64
20,42.81
30,41.87
40,47.28
50,49.98
10,40.57
20,42.18
30,41.37
40,42.66
50,47.37
10,45.38
20,44.30
30,40.90
40,45.72
50,52.54
10,43.50
20,43.12
30,45.81
40,48.50
50,44.78
10,46.57
20,35.17
30,40.68
40,43.12
50,49.46
