Date/Time, 2021-01-27_03:20
20,40.08
30,49.32
10,53.24
50,48.13
40,42.37
10,39.44
20,52.85
30,56.32
40,45.41
50,43.17
10,49.64
20,38.83
40,42.88
30,47.51
50,49.92
10,40.23
20,46.29
30,42.44
50,53.25
40,50.15
10,47.03
30,43.79
20,40.72
40,51.13
50,51.71
10,40.00
20,44.59
30,47.07
40,50.21
50,50.71
10,49.39
20,43.40
30,49.27
40,47.63
50,52.29
10,45.79
30,43.31
20,47.63
40,49.08
50,45.28
20,42.59
10,41.50
30,47.01
40,46.41
50,52.41
10,39.14
20,43.27
30,43.01
40,51.93
50,50.80
10,40.46
30,54.87
20,49.31
40,50.53
50,55.88
10,47.94
20,48.65
40,50.52
30,40.84
50,50.64
20,40.73
10,33.59
30,45.94
40,45.69
50,50.12
10,41.33
20,49.70
30,42.44
40,48.44
50,41.50
10,41.79
20,56.95
30,45.88
40,47.08
50,52.30
10,34.95
20,52.55
30,40.65
40,51.25
50,44.36
10,34.23
20,42.33
30,43.96
40,47.97
50,47.32
10,40.88
20,46.58
30,44.55
40,48.27
50,46.73
10,44.78
20,47.36
30,52.95
40,53.48
50,52.85
10,42.06
20,51.08
30,44.65
40,52.09
50,49.27
10,45.51
20,46.59
30,44.08
40,47.97
50,43.12
10,38.29
20,47.51
30,41.70
40,46.17
50,52.07
10,33.05
20,52.67
30,48.44
40,47.09
50,49.76
10,39.51
20,41.85
30,53.92
40,50.33
50,47.06
10,38.31
20,45.63
30,41.37
40,46.74
50,42.06
10,36.55
20,44.84
30,45.52
40,52.00
50,38.68
10,37.87
20,53.60
30,46.53
40,48.88
50,45.80
10,43.24
20,48.63
30,47.27
40,50.72
50,45.51
10,47.37
20,41.32
30,42.74
40,48.83
50,50.88
10,41.74
20,47.27
30,44.38
40,45.65
50,44.13
10,47.00
20,43.82
30,50.10
40,50.61
50,44.45
10,43.16
20,42.00
30,46.31
40,50.97
50,53.39
10,35.32
20,45.16
30,41.59
40,51.55
50,56.66
10,42.42
20,53.37
30,38.56
40,45.10
50,50.13
10,41.67
20,42.14
30,44.04
40,46.27
50,48.81
10,37.45
20,41.31
30,52.10
40,49.30
50,48.36
10,47.86
20,34.74
30,50.13
40,39.89
50,52.11
10,43.73
20,43.80
30,47.12
40,50.18
50,45.57
10,46.02
20,47.14
30,53.18
40,53.43
50,44.84
10,40.94
20,43.91
30,38.97
40,56.79
50,50.43
10,40.63
20,43.61
30,52.40
40,48.37
50,53.43
10,52.79
20,37.23
30,46.98
40,43.37
50,44.39
10,36.06
20,36.20
30,47.92
40,40.03
50,48.70
20,51.26
10,41.65
30,50.60
40,46.49
50,45.42
10,49.43
20,52.00
30,48.37
40,47.18
50,50.30
10,43.34
20,42.25
30,53.82
40,56.74
50,47.49
10,39.95
20,44.70
30,51.51
40,48.95
50,47.06
10,44.95
20,42.68
30,54.05
40,51.02
50,45.79
10,42.44
20,46.63
30,45.28
40,43.97
50,54.04
10,41.85
20,43.80
30,49.06
40,50.71
50,57.10
20,46.10
10,43.16
30,52.00
40,43.41
50,49.12
10,37.30
20,52.61
30,39.68
40,49.21
10,35.54
50,56.79
20,49.05
30,45.71
40,43.27
50,49.25
10,43.35
20,49.12
30,46.02
40,43.31
50,48.92
10,36.21
20,42.76
30,40.50
40,46.35
50,44.92
10,37.34
20,49.04
30,49.73
40,49.43
50,50.50
10,34.41
20,47.67
30,49.53
40,50.16
50,49.51
10,36.67
20,54.46
30,49.31
40,47.33
50,45.24
10,50.75
20,44.55
30,45.25
40,56.72
50,47.41
20,45.99
10,48.99
30,48.25
40,45.69
50,47.74
10,51.31
20,42.12
30,42.11
40,56.99
50,47.41
10,48.52
20,48.59
30,52.27
