Date/Time, 2021-01-25_21:42
30,68.34
20,56.71
10,61.14
40,65.93
10,53.40
50,63.16
20,63.21
30,69.36
40,68.24
10,62.02
50,60.70
20,56.70
50,63.34
30,62.28
40,60.86
20,60.71
10,59.96
30,59.45
40,64.91
10,56.93
50,62.56
20,56.46
30,64.98
40,59.12
50,64.03
10,59.41
20,55.17
40,65.81
30,62.48
50,68.90
10,55.67
20,57.75
30,65.01
40,64.15
50,67.28
10,54.27
20,60.87
30,51.98
40,62.31
50,66.73
10,58.87
20,52.79
30,62.83
40,67.79
50,62.84
10,55.58
20,61.52
30,63.11
40,62.58
50,65.25
10,54.22
20,63.99
30,62.65
40,65.58
50,67.77
10,58.26
20,66.04
30,55.83
40,66.23
50,62.80
10,54.81
20,57.67
30,65.26
40,59.25
50,63.89
10,57.62
20,62.84
30,61.29
40,63.70
50,63.50
10,47.15
20,64.45
30,64.71
40,62.72
50,65.67
10,52.93
20,65.36
30,63.34
40,66.24
50,63.20
10,58.30
20,55.08
30,56.56
40,62.96
50,67.60
10,59.69
20,59.55
30,65.85
40,60.35
50,62.43
10,60.90
20,60.45
30,62.48
40,60.91
50,67.35
10,58.75
20,65.61
30,61.12
40,64.86
50,66.68
10,57.75
20,60.88
30,60.71
40,64.00
50,60.50
10,48.48
20,60.38
30,61.11
40,65.58
50,65.28
10,57.55
20,62.62
30,62.64
40,64.45
50,63.66
10,60.83
20,52.84
30,65.26
40,63.08
50,65.41
10,59.94
20,55.55
30,60.00
40,62.47
50,64.91
10,52.49
20,55.97
30,64.83
40,67.62
50,54.77
10,45.08
20,59.75
30,60.98
40,66.18
50,64.57
10,59.22
20,63.39
30,64.27
40,64.35
50,64.51
10,58.11
20,61.00
30,63.68
40,61.58
50,62.18
10,53.26
20,59.54
30,58.74
40,63.92
50,59.53
10,59.82
20,60.60
30,63.77
40,65.31
50,62.14
10,57.33
20,63.22
30,64.28
40,63.07
50,66.89
10,54.99
20,57.60
30,60.75
40,68.38
50,68.53
10,60.64
20,66.50
30,60.57
40,61.29
50,65.45
10,57.81
20,59.53
30,58.03
40,64.20
50,61.03
10,56.02
20,54.89
30,65.97
40,62.19
50,65.12
10,59.84
20,63.90
30,64.96
40,63.85
50,63.96
10,57.90
20,60.05
30,63.34
40,65.39
50,64.02
