Date/Time, 2021-01-22_03:35
20,74.35
10,74.40
30,78.99
40,74.60
50,78.60
10,68.76
30,79.05
20,77.67
40,71.37
50,76.74
10,69.09
20,70.21
30,76.43
40,66.81
50,68.02
10,77.06
20,73.70
30,74.34
10,80.37
40,72.40
50,74.40
20,76.64
30,75.95
40,74.38
10,70.84
50,76.62
20,70.06
50,72.26
30,76.07
40,78.26
10,68.76
30,77.77
20,75.97
40,70.67
50,66.37
10,78.64
20,84.70
40,67.46
30,76.22
10,75.83
50,77.69
20,69.72
30,66.24
40,72.55
50,76.36
10,73.26
20,77.55
30,76.71
40,75.65
50,73.42
10,78.83
20,65.90
30,66.24
40,71.31
50,71.71
10,76.97
20,75.73
30,69.57
40,74.16
50,70.61
20,74.33
10,72.85
30,77.73
40,73.83
50,75.37
10,58.05
20,74.11
30,72.24
40,76.35
50,75.63
10,85.63
20,65.91
30,73.64
40,68.34
50,73.84
20,76.45
10,70.04
30,71.54
40,75.58
50,74.52
10,84.15
20,66.70
30,73.83
40,75.66
50,77.64
10,74.65
20,75.91
30,75.22
40,71.35
50,70.26
10,77.86
20,69.56
30,80.02
40,78.02
50,70.05
10,79.94
20,78.49
30,69.86
40,81.58
50,78.49
10,78.80
20,72.87
30,73.39
40,73.58
50,75.27
10,68.83
20,78.93
30,76.81
40,73.49
50,73.70
10,73.36
20,71.41
30,70.21
40,72.64
50,66.01
10,71.41
20,68.93
30,66.04
40,75.34
50,70.48
10,68.97
20,73.18
30,75.27
40,76.49
50,75.22
10,70.77
20,74.19
30,77.91
40,68.56
50,77.78
10,75.09
20,77.11
30,70.16
40,76.18
50,70.72
10,67.14
20,68.88
30,72.65
40,76.81
50,77.71
20,74.16
10,69.31
30,73.24
50,69.48
40,76.87
10,73.40
30,68.02
20,72.75
40,74.14
50,79.67
10,68.51
20,74.38
30,76.32
40,66.47
50,77.67
10,81.41
20,75.94
30,75.08
50,68.05
40,74.34
10,71.25
20,72.55
30,69.64
40,71.11
50,76.04
10,66.59
20,56.45
30,77.80
40,74.40
50,73.03
20,72.89
10,64.75
30,77.52
40,76.13
50,72.58
10,74.09
20,76.21
30,70.64
40,77.41
50,65.86
10,79.99
20,72.15
30,78.18
40,79.00
50,70.81
10,74.15
20,80.12
30,74.42
40,74.55
50,68.79
10,80.37
20,74.74
30,77.45
40,77.60
50,74.48
10,82.78
20,76.40
30,76.38
40,71.95
50,77.92
10,79.20
20,76.25
30,67.14
40,70.24
50,69.17
10,70.27
20,74.01
30,74.88
40,79.51
50,79.19
10,75.07
20,74.20
30,71.83
40,68.82
50,72.93
10,74.43
20,77.21
30,75.29
40,72.15
50,75.13
10,73.62
20,78.00
30,68.88
40,67.38
50,78.45
10,72.72
20,69.48
30,78.57
40,66.08
50,77.71
10,85.02
20,72.25
30,71.80
40,75.90
50,80.12
10,68.23
20,75.16
30,78.73
40,73.33
50,71.30
10,67.47
20,71.36
30,76.19
40,75.57
50,67.30
10,66.05
20,72.45
30,76.41
40,78.01
50,73.57
20,74.16
10,75.08
30,73.48
50,75.83
40,75.60
10,77.47
20,69.49
30,72.87
40,72.17
10,70.65
50,73.58
20,71.88
30,74.17
40,79.19
50,76.89
10,77.86
20,69.92
30,65.71
40,77.44
50,76.39
10,73.19
20,76.57
30,75.03
40,74.33
50,71.97
10,68.23
20,75.13
30,76.28
40,76.88
50,69.12
10,71.57
20,77.82
30,76.81
50,70.14
40,78.65
10,68.93
30,74.99
20,72.86
40,73.34
50,77.83
10,73.55
20,72.04
30,69.62
40,75.04
50,74.21
20,65.38
10,75.69
30,77.10
40,74.40
50,75.90
10,72.94
20,66.48
30,68.91
40,76.74
10,77.80
50,74.53
20,73.75
40,69.67
30,70.98
50,76.18
10,70.48
20,73.15
30,72.90
40,76.14
50,76.14
10,71.23
30,73.90
20,73.11
40,73.87
50,75.20
10,78.52
20,71.23
30,78.63
40,76.40
10,71.38
50,76.81
20,69.93
30,71.90
40,74.20
50,71.60
10,73.41
20,73.87
30,74.44
50,71.98
40,77.79
10,72.22
30,80.59
20,76.07
40,71.92
10,69.99
50,70.27
20,66.40
30,70.26
50,74.50
40,74.25
10,75.90
20,76.33
30,80.79
40,78.66
50,80.10
10,68.37
20,70.76
30,72.52
40,70.27
50,74.86
10,69.71
20,77.97
40,66.01
30,75.81
50,74.24
20,80.57
10,71.90
30,73.88
40,74.90
50,74.02
10,59.28
20,77.84
30,75.61
40,70.83
10,69.52
50,71.46
20,74.94
40,71.32
30,66.16
50,71.06
20,72.62
10,73.02
30,67.24
50,70.76
40,71.75
10,71.81
30,75.85
20,72.67
40,71.92
50,74.48
10,72.60
20,70.99
30,72.43
40,76.10
50,72.72
10,73.71
20,61.30
30,71.84
40,72.87
50,74.42
10,75.28
20,75.03
30,75.17
40,74.51
50,75.91
10,79.06
20,80.08
30,72.72
40,75.61
50,72.52
10,75.64
20,67.25
30,73.42
40,71.59
50,77.54
10,69.21
20,70.39
30,75.49
40,75.85
50,73.12
10,71.10
20,77.04
30,76.70
40,74.06
50,75.38
20,73.32
10,72.61
30,67.09
40,77.12
50,66.12
10,81.65
30,68.37
20,73.32
40,75.49
10,73.56
50,76.11
20,71.08
40,73.37
30,81.20
50,75.97
20,75.73
10,73.00
30,75.91
40,74.30
50,69.39
10,73.48
20,70.60
30,72.08
40,73.29
50,76.12
10,71.67
20,80.91
40,73.54
30,72.36
50,75.35
10,77.22
20,77.90
30,74.94
50,73.09
40,75.47
10,77.53
20,82.14
30,81.68
40,68.72
10,66.91
50,76.57
20,68.98
30,75.37
40,77.69
50,72.65
10,77.04
20,76.14
30,72.43
40,76.39
50,68.54
10,74.08
20,73.08
30,74.16
40,67.68
50,76.62
10,81.20
20,70.74
30,74.65
40,73.84
50,77.91
10,75.32
20,68.05
