Date/Time, 2021-01-19_03:30
30,95.14
10,91.26
20,93.63
40,95.62
10,88.98
50,96.00
20,93.60
30,94.65
40,95.05
50,94.95
10,91.37
20,91.87
30,94.73
40,94.77
50,94.94
20,91.56
10,94.13
30,91.31
40,94.98
50,95.80
10,92.49
20,95.04
30,92.99
40,90.69
50,95.49
10,90.59
20,92.82
30,94.95
40,95.65
50,96.11
20,94.63
10,81.37
30,95.45
40,94.74
50,95.08
10,91.11
30,94.65
20,95.09
40,92.28
50,94.89
10,90.85
20,90.04
30,93.72
40,93.56
50,95.48
20,94.03
10,85.39
30,95.25
40,94.17
50,93.49
10,85.23
20,92.87
30,94.43
40,95.00
50,95.05
10,85.92
20,95.08
30,93.94
40,94.16
50,95.10
10,91.46
20,90.69
30,93.73
40,93.88
50,93.38
10,75.19
20,94.47
30,88.37
40,93.43
50,94.28
10,94.22
20,93.48
30,93.21
40,95.66
50,95.67
10,93.75
20,94.83
30,93.74
40,95.75
50,95.27
10,91.33
20,91.73
30,91.97
40,95.56
50,95.89
10,93.75
20,95.05
30,93.91
40,94.81
50,95.33
10,91.85
20,89.26
30,95.43
40,95.40
50,95.43
10,93.81
20,90.98
30,93.32
40,95.05
50,94.79
10,88.78
20,93.63
30,94.97
40,93.85
10,85.91
50,93.59
20,94.04
30,94.73
40,95.32
50,95.31
10,89.54
20,88.53
30,94.38
40,92.71
50,95.10
10,91.84
20,86.81
30,95.20
40,93.06
10,89.92
50,94.44
20,92.58
30,95.71
40,94.35
50,93.58
20,92.03
10,87.33
30,94.72
40,95.48
50,95.17
10,92.07
20,93.24
30,95.93
40,94.98
50,95.10
10,83.14
20,88.88
30,94.35
40,94.98
50,95.38
10,88.40
20,92.19
30,95.37
40,93.62
50,91.40
10,90.82
20,93.84
30,90.92
40,93.39
50,95.30
10,88.57
30,94.54
20,95.00
40,94.35
10,93.68
50,95.55
20,93.61
30,94.32
40,94.96
50,90.78
10,92.43
20,90.81
30,94.45
50,92.96
40,94.20
10,84.16
30,95.23
20,92.28
40,94.61
10,92.75
50,95.40
20,92.72
30,94.29
40,95.04
50,95.02
20,92.96
10,92.49
30,95.21
40,93.88
50,94.87
10,86.75
30,92.91
20,94.35
40,96.20
10,89.05
50,94.76
20,93.25
30,93.84
40,94.99
50,95.34
10,93.67
20,90.22
30,94.70
50,92.36
40,95.77
10,92.58
20,95.30
30,95.06
40,95.58
10,90.91
50,96.13
20,91.90
30,94.84
40,90.70
50,94.31
10,84.21
20,93.00
30,93.99
40,96.23
50,95.12
10,85.71
20,94.56
30,92.17
40,91.54
50,95.84
10,85.66
20,90.65
30,94.65
40,94.08
50,94.51
10,91.27
20,95.24
30,93.86
40,95.60
50,96.10
10,85.67
20,94.35
30,95.25
40,95.29
50,94.07
10,89.90
20,92.18
30,91.18
40,88.37
50,95.21
10,88.16
20,94.13
30,95.51
40,94.84
50,95.00
10,90.16
20,93.01
30,90.23
40,91.27
50,95.60
10,92.47
20,93.64
30,95.79
40,94.93
50,95.15
10,83.37
20,90.47
30,90.21
40,94.30
10,89.92
50,95.05
20,94.78
30,95.84
40,95.47
50,95.30
10,72.83
20,94.24
30,94.62
40,94.83
50,95.27
10,90.87
20,91.20
30,92.88
40,95.20
50,94.34
10,84.34
20,94.02
30,93.70
40,93.76
50,96.11
10,89.29
20,94.29
30,95.38
40,95.03
50,93.18
10,84.60
20,93.48
30,94.37
40,95.75
50,91.25
10,87.69
20,92.00
30,94.97
40,95.27
50,95.96
10,84.95
20,94.43
30,95.25
40,93.88
50,95.40
10,86.46
20,90.48
30,93.00
40,94.76
50,95.63
10,91.31
20,91.24
30,93.20
40,95.22
50,93.55
10,92.45
20,90.93
30,95.43
40,95.20
50,95.82
10,88.51
20,94.39
30,95.87
40,95.02
50,93.74
10,83.51
20,93.81
30,95.91
40,91.52
50,95.08
10,93.49
20,91.42
30,94.44
40,91.51
50,95.42
10,91.72
20,89.84
30,94.60
40,92.65
50,95.59
10,93.80
20,95.24
30,92.53
40,94.63
50,94.62
10,89.55
20,93.50
30,95.64
40,94.36
50,96.41
10,91.69
20,94.11
30,93.32
40,94.16
50,95.40
10,91.51
20,88.83
30,89.15
40,95.26
50,95.99
10,87.40
20,91.19
30,93.61
40,95.47
50,95.45
10,92.65
20,95.31
30,93.38
40,94.92
50,94.50
10,87.42
20,94.61
30,93.15
40,92.18
50,94.66
10,81.06
20,93.16
30,93.73
40,91.08
10,87.19
50,90.39
20,94.88
30,92.49
40,95.14
50,94.56
10,88.98
20,87.32
30,93.35
40,96.00
50,95.43
10,94.45
30,91.12
20,92.91
40,93.94
10,86.39
50,94.13
20,94.56
30,95.57
40,94.79
50,92.95
10,90.56
20,94.73
30,94.97
50,95.04
40,95.14
10,91.32
20,92.41
30,93.85
40,94.73
50,95.24
10,94.86
20,95.41
30,95.08
40,95.19
50,95.89
10,90.19
20,90.54
30,92.34
40,95.02
50,96.09
10,90.15
20,93.03
30,95.04
40,94.81
10,89.59
50,94.94
20,94.72
40,95.33
30,93.68
50,94.65
20,94.10
10,89.58
30,91.94
40,90.32
50,95.43
10,84.49
20,93.88
30,94.40
40,94.31
50,93.96
10,87.09
20,94.16
30,94.03
40,94.74
50,95.02
10,92.86
20,95.17
30,93.93
40,95.45
50,95.27
10,94.37
20,91.58
30,93.07
40,95.44
50,96.00
10,93.48
20,94.77
30,95.41
40,93.55
50,95.82
10,89.05
20,94.76
30,95.43
40,94.00
50,93.10
20,94.85
10,92.60
30,88.14
40,93.34
50,92.94
10,80.34
20,92.75
30,94.25
40,95.49
50,94.43
10,92.56
20,94.98
30,94.18
40,95.65
50,95.81
10,85.92
20,93.96
30,95.14
40,93.77
50,92.79
10,92.43
20,93.59
30,94.97
40,94.24
50,94.78
10,89.65
20,92.83
30,92.22
40,95.77
50,92.94
10,85.50
20,89.61
30,93.85
40,94.56
50,94.21
10,84.23
20,94.69
30,95.08
40,95.24
50,94.77
10,91.23
20,89.52
30,90.19
40,94.99
50,95.13
